	data_collection_round	Marital status - Head of Household	single_headed_household	Number household member boy under5 years old	Number household member _girl_under5 years old	Number household member boy_5_17 years old	household_girl_5_17	number adult household members years old	Total household number	diarrhea_under_5	house_type	Households use bottled water as drinking water source	Household treating water	Improvedsanitationfacility	Mentionedafterdefecating	Mentionedbeforeeating	Mentionedbeforeeatingafterdefecating	Mentionedbeforefeedingchild	handwashingfull	Household praticing open defecation	Frequency respondant report handwhashing a day	Improved water source
1465	Baseline	Married	No	0	0	1	2	2	5	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1466	Baseline	Married	No	0	0	1	1	2	4	No	Concrete	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1467	Baseline	Married	No	0	0	0	0	2	2	No	Timber and concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1468	Baseline	Married	No	0	0	1	1	2	4	No	Concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Unimproved water source
1469	Baseline	Married	No	0	0	1	0	2	3	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility without Water and Soap	No open defecation	7 times and more	Improved water source
1470	Baseline	Married	No	2	0	0	0	2	4	Yes	Hut	Bottled water	No	Improved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1471	Baseline	Married	No	1	1	2	1	2	7	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1472	Baseline	Married	No	0	0	1	0	2	3	No	Timber frame	Bottled water	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1473	Baseline	Married	No	1	1	1	1	2	6	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1474	Baseline	Married	No	0	0	2	1	2	5	No	Timber and concrete	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1475	Baseline	Married	No	0	0	0	0	1	1	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	Open defecation	3 - 4 times	Improved water source
1476	Baseline	Married	No	1	0	1	1	2	5	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1477	Baseline	Married	No	1	0	1	4	2	8	Yes	Timber frame	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1478	Baseline	Married	No	0	0	1	0	2	3	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1479	Baseline	Married	No	0	1	1	0	2	4	No	Timber and concrete	Bottled water	No	Improved toilet facility	No	No	No	Yes	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1480	Baseline	Married	No	0	0	1	1	3	5	No	Concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1481	Baseline	Married	No	0	0	1	0	2	3	No	Timber and concrete	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Unimproved water source
1482	Baseline	Married	No	2	0	4	0	2	8	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1483	Baseline	Married	No	1	0	0	0	2	3	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1484	Baseline	Married	No	0	2	0	0	3	5	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1485	Baseline	Married	No	0	2	0	0	3	5	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1486	Baseline	Married	No	0	0	2	1	2	5	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1487	Baseline	Married	No	0	1	1	1	2	5	Yes	Concrete	Bottled water	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1488	Baseline	Married	No	1	1	1	0	2	5	No	Timber frame	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1489	Baseline	Married	No	0	1	0	0	4	5	No	Concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1490	Baseline	Married	No	0	0	0	0	2	2	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1491	Baseline	Married	No	1	0	0	1	2	4	No	Concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1492	Baseline	Married	No	0	0	0	0	2	2	No	Timber frame	Bottled water	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1493	Baseline	Married	No	0	1	0	0	2	3	No	Timber and concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1494	Baseline	Married	No	0	0	1	2	2	5	No	Timber frame	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1495	Baseline	Married	No	1	1	2	0	2	6	No	Timber and concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1496	Baseline	Widowed	Yes	1	1	1	2	2	7	No	Hut	Bottled water	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1497	Baseline	Married	No	1	0	0	0	2	3	No	Timber and concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1498	Baseline	Married	No	1	0	0	1	2	4	No	Concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1499	Baseline	Married	No	1	0	0	1	2	4	No	Timber frame	Bottled water	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1500	Baseline	Divorced	Yes	0	0	0	1	2	3	No	Concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1501	Baseline	Married	No	0	1	0	1	1	3	No	Makeshift shelter	Bottled water	No	Improved toilet facility	Yes	No	No	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1502	Baseline	Married	No	0	0	0	3	5	8	No	Concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1503	Baseline	Married	No	0	0	2	2	2	6	No	Timber frame	Bottled water	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1504	Baseline	Married	No	0	0	1	2	3	6	No	Timber and concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1505	Baseline	Married	No	0	0	0	0	3	3	No	Timber frame	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	Open defecation	3 - 4 times	Improved water source
1506	Baseline	Married	No	0	0	2	1	2	5	No	Timber frame	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1507	Baseline	Married	No	0	0	1	0	2	3	No	Timber and concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1508	Baseline	Married	No	1	0	0	0	2	3	No	Timber frame	Bottled water	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1509	Baseline	Married	No	0	0	0	0	5	5	No	Timber and concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1510	Baseline	Married	No	0	0	2	1	2	5	No	Hut	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	5 - 6 times	Unimproved water source
1511	Baseline	Married	No	0	0	0	2	2	4	No	Hut	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1512	Baseline	Married	No	0	1	0	2	3	6	No	Hut	Bottled water	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1513	Baseline	Married	No	0	0	0	1	1	2	No	Timber frame	Bottled water	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1514	Baseline	Married	No	0	1	0	2	2	5	No	Timber and concrete	Bottled water	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1515	Baseline	Married	No	1	0	1	0	2	4	No	Timber frame	Bottled water	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1516	Baseline	Married	No	0	0	1	2	2	5	No	Timber frame	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water without Soap	No open defecation	5 - 6 times	Improved water source
1517	Baseline	Married	No	0	1	1	0	2	4	No	Timber and concrete	Bottled water	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1518	Baseline	Married	No	0	1	1	0	2	4	No	Timber frame	Bottled water	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1519	Baseline	Married	No	1	0	0	0	2	3	Yes	Timber frame	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	Open defecation	3 - 4 times	Unimproved water source
1520	Baseline	Married	No	1	0	0	0	2	3	No	Timber frame	Bottled water	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1521	Baseline	Married	No	1	0	1	0	3	5	No	Timber frame	Bottled water	No	Unimproved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1522	Baseline	Married	No	0	2	1	1	2	6	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1523	Baseline	Married	No	0	0	0	0	4	4	No	Concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1524	Baseline	Widowed	Yes	0	1	2	1	2	6	No	Timber frame	Bottled water	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1525	Baseline	Married	No	0	0	4	0	1	5	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Unimproved water source
1526	Baseline	Married	No	0	0	0	0	5	5	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Unimproved water source
1527	Baseline	Married	No	0	0	0	0	2	2	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1528	Baseline	Married	No	0	0	0	0	3	3	No	Timber and concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1529	Baseline	Married	No	0	0	2	2	3	7	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1530	Baseline	Married	No	0	0	0	1	4	5	No	Timber and concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1531	Baseline	Married	No	0	0	1	2	2	5	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1532	Baseline	Married	No	0	0	4	0	2	6	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Unimproved water source
1533	Baseline	Married	No	0	0	0	1	2	3	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1534	Baseline	Married	No	0	0	1	2	2	5	No	Timber and concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	7 times and more	Improved water source
1535	Baseline	Married	No	0	0	1	0	3	4	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Unimproved water source
1536	Baseline	Married	No	0	0	1	0	2	3	No	Timber frame	Other source	No	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1537	Baseline	Married	No	0	0	2	1	2	5	No	Timber and concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1538	Baseline	Seperated_above_18_acting_as_caregiver_	Yes	0	0	0	0	3	3	No	Timber and concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
1539	Baseline	Widowed	Yes	0	1	0	0	3	4	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1540	Baseline	Married	No	0	0	1	1	1	3	No	Timber frame	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1541	Baseline	Married	No	1	0	2	2	4	9	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
1542	Baseline	Married	No	0	1	2	0	3	6	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	3 - 4 times	Improved water source
1543	Baseline	Widowed	Yes	1	0	0	0	4	5	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
1544	Baseline	Married	No	0	0	1	0	3	4	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
1545	Baseline	Married	No	0	0	0	1	3	4	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1546	Baseline	Married	No	0	0	1	1	3	5	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	3 - 4 times	Improved water source
1547	Baseline	Married	No	0	0	1	0	4	5	No	Timber and concrete	Other source	No	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	5 - 6 times	Improved water source
1548	Baseline	Married	No	0	0	2	0	3	5	No	Hut	Bottled water	No	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
1549	Baseline	Married	No	0	1	0	2	3	6	No	Hut	Other source	No	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1550	Baseline	Married	No	1	0	0	0	1	2	No	Concrete	Other source	Yes	Improved toilet facility	No	No	No	Yes	Handwashing facility without Water and Soap	No open defecation	5 - 6 times	Improved water source
1551	Baseline	Married	No	0	1	1	4	2	8	No	Makeshift shelter	Other source	Yes	Improved toilet facility	No	Yes	No	Yes	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1552	Baseline	Married	No	1	1	0	0	3	5	Yes	Timber and concrete	Other source	No	Improved toilet facility	No	No	No	Yes	Handwashing facility with Water without Soap	No open defecation	7 times and more	Improved water source
1553	Baseline	Married	No	0	0	0	0	4	4	No	Timber and concrete	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1554	Baseline	Widowed	Yes	2	0	2	0	2	6	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1555	Baseline	Married	No	0	0	1	0	3	4	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Unimproved water source
1556	Baseline	Married	No	0	0	2	2	1	5	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1557	Baseline	Married	No	0	0	0	3	2	5	No	Concrete	Other source	No	Improved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1558	Baseline	Married	No	0	0	2	0	2	4	No	Makeshift shelter	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1559	Baseline	Married	No	1	2	0	0	2	5	No	Makeshift shelter	Other source	Yes	Improved toilet facility	No	Yes	No	Yes	No Handwashing facility	No open defecation	7 times and more	Unimproved water source
1560	Baseline	Married	No	0	1	2	1	3	7	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Unimproved water source
1561	Baseline	Married	No	2	1	1	0	2	6	No	Timber frame	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1562	Baseline	Married	No	0	1	0	0	2	3	No	Timber and concrete	Other source	No	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1563	Baseline	Married	No	0	1	2	2	4	9	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	Yes	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1564	Baseline	Married	No	1	2	0	0	2	5	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	No Handwashing facility	Open defecation	3 - 4 times	Improved water source
1565	Baseline	Married	No	0	0	2	1	2	5	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1566	Baseline	Married	No	0	0	1	0	2	3	No	Hut	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	3 - 4 times	Improved water source
1567	Baseline	Married	No	0	1	0	0	4	5	No	Timber and concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1568	Baseline	Married	No	0	0	1	0	2	3	No	Timber frame	Other source	No	Unimproved toilet facility	No	Yes	No	No	No Handwashing facility	Open defecation	3 - 4 times	Unimproved water source
1569	Baseline	Married	No	1	0	1	1	2	5	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1570	Baseline	Widowed	Yes	0	0	4	0	2	6	No	Timber and concrete	Bottled water	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1571	Baseline	Married	No	0	0	1	0	3	4	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
1572	Baseline	Married	No	1	0	1	0	2	4	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1573	Baseline	Married	No	0	1	1	1	3	6	Yes	Timber and concrete	Other source	No	Improved toilet facility	No	No	No	Yes	No Handwashing facility	No open defecation	5 - 6 times	Improved water source
1574	Baseline	Married	No	0	0	1	1	4	6	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
1575	Baseline	Married	No	1	1	0	3	3	8	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
1576	Baseline	Married	No	2	0	2	1	4	9	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1577	Baseline	Married	No	0	1	1	0	3	5	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Unimproved water source
1578	Baseline	Married	No	0	0	1	2	2	5	No	Timber and concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1579	Baseline	Married	No	0	0	1	1	4	6	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
1580	Baseline	Married	No	1	1	1	0	2	5	No	Timber and concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	3 - 4 times	Improved water source
1581	Baseline	Married	No	0	0	1	2	2	5	No	Concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1582	Baseline	Widowed	Yes	0	0	1	1	5	7	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
1583	Baseline	Married	No	0	0	2	0	1	3	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1584	Baseline	Married	No	0	0	0	0	2	2	No	Hut	Other source	No	Improved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1585	Baseline	Married	No	0	0	1	1	2	4	No	Timber and concrete	Other source	No	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1586	Baseline	Married	No	1	0	0	0	2	3	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	5 - 6 times	Improved water source
1587	Baseline	Married	No	0	0	1	1	4	6	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1588	Baseline	Married	No	1	1	4	2	2	10	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1589	Baseline	Married	No	1	1	2	0	2	6	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1590	Baseline	Married	No	0	1	0	0	2	3	No	Hut	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1591	Baseline	Widowed	Yes	0	0	0	0	4	4	No	Timber frame	Other source	No	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1592	Baseline	Married	No	0	0	2	1	2	5	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
1593	Baseline	Married	No	0	0	0	0	4	4	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	7 times and more	Improved water source
1594	Baseline	Married	No	0	0	1	0	6	7	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1595	Baseline	Married	No	0	0	3	1	3	7	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1596	Baseline	Married	No	0	0	1	0	2	3	No	Makeshift shelter	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1597	Baseline	Married	No	0	1	2	1	2	6	Yes	Makeshift shelter	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
1598	Baseline	Married	No	1	0	3	0	4	8	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility without Water and Soap	No open defecation	5 - 6 times	Improved water source
1599	Baseline	Married	No	0	0	1	2	3	6	No	Timber and concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1600	Baseline	Married	No	0	1	3	0	2	6	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1601	Baseline	Married	No	1	1	1	0	3	6	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
1602	Baseline	Married	No	0	0	1	1	2	4	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	7 times and more	Unimproved water source
1603	Baseline	Married	No	0	0	0	1	2	3	No	Timber frame	Bottled water	No	Improved toilet facility	No	Yes	No	No	Handwashing facility without Water and Soap	No open defecation	3 - 4 times	Improved water source
1604	Baseline	Married	No	1	0	2	0	5	8	No	Makeshift shelter	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
1605	Baseline	Married	No	0	0	1	0	7	8	No	Timber and concrete	Bottled water	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
1606	Baseline	Married	No	0	0	2	0	3	5	No	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
